Όνομα Προμηθευτή,Μέσο Ποσοστό Περικοπής,Αθροιστικό Βάρος (αρχικό),Αθροιστική Αξία (αρχική),Αξιολόγηση Προμηθευτή,Κατηγορία Προμηθευτή
883,0.0,273.0,2.73,7.0,average
728,0.0,5840.0,1314.83,7.0,average
776,1.66643,645625.0,119969.0,6.739,bad
844,0.0,1147.0,206.46,7.0,average
767,0.149445,469950.0,224889.0,6.9955,average
953,0.0,309.0,3.09,7.0,average
552,0.0,62100.0,6323.24,7.0,average
835,1.29955,152160.0,15677.3,6.79,bad
555,0.0,1046.0,125.52,7.0,average
229,0.0,595.0,29.75,7.0,average
690,0.0,970.0,67.9,7.0,average
447,0.0,532.0,5.32,7.0,average
13,0.0,1378.0,151.58,7.0,average
995,0.0,1020.0,10.2,7.0,average
558,0.0,50696.0,35944.9,7.0015,good
493,0.0,7035.0,2661.0,7.0,average
164,0.0,13530.0,2570.7,7.0,average
961,0.0,3092.0,121.22,7.0,average
897,0.0,4385.0,0.04385,7.0,average
30,0.261823,168295.0,197595.0,6.97,average
487,0.0,1189.0,107.01,7.0,average
853,0.0,393.0,3.93,7.0,average
868,0.0,928.0,9.28,7.0,average
67,1.03664,26735.0,30519.5,6.8335,bad
330,0.185059,17465.0,15011.5,6.972,average
551,14.9835,46111.0,11694.1,4.543,bad
168,0.0,360.0,3.6,7.0,average
878,0.152626,90420.0,246184.0,6.994,average
734,0.0,999.0,69.93,7.0,average
878,0.120839,44097.0,91373.5,6.992,average
420,0.0,554.0,16885.0,7.0,average
90,0.0,340.0,3.4,7.0,average
338,0.0,1024.0,102.4,7.0,average
709,0.470439,198945.0,177066.0,6.935,average
