Date,E Shredder(kWh), E ECurrent(kWh),SHREDDED(kg),ZORBA(kg),INOX(kg),CUFe(kg),FLUFF(kg),TIME AVAIL(min),FUCHS BREAKDOWN,BIG PIECES,BLOCKING,2nd PROCESSING OF RUBBISH FROM MOTORS,NO SCRAP IN FEEDING AREA into machine(break change of material etc.),NO ELECTRICAL POWER,NO SCRAP IN THE PLANT OR PROPER MIX,SCALE,START-FINISH TIME,MECHANICAL,ELECTRICAL,ELECTRONIC,FIRE - EXPLOSION,BELTS PROBLEMS,HAMMERS AND FACING PROBLEMS,HYDRAULICS,OTHER,40000,40001,40002,40003,40004,40005,40006,40008,40009,40011,40012,40016,40017,40018,40020,40021,40240,40242,40296,40297,70001
3062,  125,93935,1215,140,125,32635,480,0,0,18,0,30,0,0,0,60,10,0,0,0,0,0,0,0,13195,27180,87195,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,480,
2006,   85,93740,0,60,150,22935,480,0,0,3,0,0,0,0,0,54,0,154,0,0,0,0,0,0,16220,27315,73350,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2520,  129,85515,0,90,100,19780,480,0,0,10,0,30,0,0,0,61,0,0,0,0,0,0,28,0,12230,34325,58930,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2567,  143,70140,0,70,100,18085,480,0,0,6,0,100,0,0,0,64,0,0,0,0,0,0,17,0,8215,30305,48535,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,1340,
2426,  120,66765,0,85,115,20840,630,0,0,0,0,30,0,0,0,58,0,0,0,0,216,0,13,0,18960,29435,39410,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3752,  180,95105,0,95,175,35655,600,0,18,0,0,45,0,0,0,48,0,0,0,0,10,0,0,0,4025,19200,102290,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,5515,
1627,  130,78480,24930,320,2180,22050,540,0,0,12,0,32,0,56,0,60,0,80,0,0,25,0,0,0,0,8140,0,0,0,0,0,0,      0,73865,45030,0,1890,5670,0,0,0,0,0,0,0,
2546,  130,85845,0,130,170,15550,480,80,0,0,0,30,0,0,0,61,0,46,0,0,3,0,0,0,12135,16095,68320,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,5145,
2881,  127,90815,0,100,170,14985,480,0,18,20,0,30,0,0,0,103,0,0,0,0,0,0,0,0,10245,24370,64970,0,0,0,0,5115,      0,0,0,0,0,0,0,0,0,0,0,0,1370,
2313,  110,96345,16405,95,490,27185,480,0,0,16,0,30,0,0,0,164,0,0,0,0,18,0,0,0,0,7975,0,0,0,0,0,24005,      0,26250,81015,0,4970,0,0,0,0,0,0,0,0,
3341,  257,95295,0,135,150,16675,480,0,0,15,0,69,0,0,0,63,0,0,0,0,0,0,0,0,28220,20225,41395,0,0,0,0,18055,      0,0,0,0,0,0,0,0,0,0,0,0,4360,
3407,  129,86900,0,110,175,22950,480,0,0,96,0,30,0,0,0,56,3,0,0,0,0,0,0,0,13440,9900,65205,0,0,0,0,21590,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3103,  122,117320,0,160,175,16790,630,0,0,0,0,30,0,0,0,208,0,0,0,0,0,0,0,0,27010,30105,55025,0,0,0,0,22305,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1977,   94,103470,18780,245,1085,20720,480,0,0,5,180,30,0,0,0,20,0,0,0,0,0,0,0,0,0,10950,0,0,0,0,0,25850,      0,23130,89245,0,0,0,0,0,0,0,0,0,0,
3234,  130,118975,0,275,210,29920,480,0,0,13,0,49,0,0,0,64,0,0,0,0,0,0,0,0,12500,42935,35205,0,0,0,0,58410,      0,0,0,0,0,0,0,0,0,0,0,0,330,
2862,  110,86060,0,55,120,22670,600,0,0,35,0,30,0,0,0,219,0,0,0,0,0,0,0,0,17880,14390,36580,0,0,0,0,40055,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3258,  139,85005,0,140,125,19500,480,25,0,8,0,30,0,0,0,64,24,6,0,0,0,0,0,0,26825,39410,34060,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,4475,
1511,   93,22080,35,75,10,3910,480,105,0,0,0,52,0,0,0,199,0,0,0,0,0,0,0,0,0,10380,0,0,15730,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
